=================================================================
  Run : 20260628_231252
  Strategy : DummyVecEnv(8) + 전체 train pool
  Policy   : MlpPolicy  net_arch=[64, 64]
  Steps    : 2,000,000  (eval every 50,000)
=================================================================
[data] 로딩: /home/hpe/finance-llm-course/day3/01_golden_cross/../../day2/03_fss_api/data/stock_prices.csv
[data] train 199종목 / val 200종목  (split: 20260101)
[env] DummyVecEnv(8)  obs=(20, 9)  act=3
Using cpu device
[model] 파라미터 수: 31,748

[train] 시작  →  tensorboard --logdir /home/hpe/finance-llm-course/day3/01_golden_cross/logs

Logging to /home/hpe/finance-llm-course/day3/01_golden_cross/logs/20260628_231252/20260628_231252_1
---------------------------------
| rollout/           |          |
|    n_updates            | 2330        |
|    policy_gradient_loss | -0.025      |
|    value_loss           | 0.0143      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 765        |
|    ep_rew_mean          | 4.47       |
| time/                   |            |
|    fps                  | 1551       |
|    iterations           | 235        |
|    time_elapsed         | 1240       |
|    total_timesteps      | 1925120    |
| train/                  |            |
|    approx_kl            | 0.03179179 |
|    clip_fraction        | 0.182      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.445     |
|    explained_variance   | 0.231      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0205    |
|    n_updates            | 2340       |
|    policy_gradient_loss | -0.0236    |
|    value_loss           | 0.011      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 758         |
|    ep_rew_mean          | 4.4         |
| time/                   |             |
|    fps                  | 1552        |
|    iterations           | 236         |
|    time_elapsed         | 1245        |
|    total_timesteps      | 1933312     |
| train/                  |             |
|    approx_kl            | 0.035289988 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.448      |
|    explained_variance   | 0.185       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00985    |
|    n_updates            | 2350        |
|    policy_gradient_loss | -0.022      |
|    value_loss           | 0.0145      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 774        |
|    ep_rew_mean          | 4.54       |
| time/                   |            |
|    fps                  | 1553       |
|    iterations           | 237        |
|    time_elapsed         | 1250       |
|    total_timesteps      | 1941504    |
| train/                  |            |
|    approx_kl            | 0.03357351 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.445     |
|    explained_variance   | 0.165      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0211    |
|    n_updates            | 2360       |
|    policy_gradient_loss | -0.0225    |
|    value_loss           | 0.0163     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 774        |
|    ep_rew_mean          | 4.58       |
| time/                   |            |
|    fps                  | 1553       |
|    iterations           | 238        |
|    time_elapsed         | 1254       |
|    total_timesteps      | 1949696    |
| train/                  |            |
|    approx_kl            | 0.03187047 |
|    clip_fraction        | 0.179      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.447     |
|    explained_variance   | 0.191      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0405    |
|    n_updates            | 2370       |
|    policy_gradient_loss | -0.0242    |
|    value_loss           | 0.0142     |
----------------------------------------
----------------------------------------
| train/                  |            |
|    approx_kl            | 0.03036141 |
|    clip_fraction        | 0.175      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.456     |
|    explained_variance   | 0.219      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0328    |
|    n_updates            | 2380       |
|    policy_gradient_loss | -0.0246    |
|    value_loss           | 0.0148     |
| train_eval/             |            |
|    mean_cum_return      | 1.38       |
|    mean_mdd             | -0.492     |
|    mean_sharpe          | -0.13      |
|    mean_win_rate        | 0.369      |
|    std_cum_return       | 3.72       |
|    std_mdd              | 0.0763     |
|    std_sharpe           | 0.802      |
|    std_win_rate         | 0.0376     |
| val/                    |            |
|    mean_cum_return      | 0.0837     |
|    mean_mdd             | -0.315     |
|    mean_sharpe          | -0.814     |
|    mean_win_rate        | 0.38       |
|    std_cum_return       | 0.52       |
|    std_mdd              | 0.084      |
|    std_sharpe           | 2.75       |
|    std_win_rate         | 0.0981     |
----------------------------------------
  [eval] step=1,950,000  val cum_ret=+8.37%  MDD=-31.52%  sharpe=-0.814  win_rate=38.0%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 769      |
|    ep_rew_mean     | 4.49     |
| time/              |          |
|    fps             | 1549     |
|    iterations      | 239      |
|    time_elapsed    | 1263     |
|    total_timesteps | 1957888  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 741        |
|    ep_rew_mean          | 4.32       |
| time/                   |            |
|    fps                  | 1550       |
|    iterations           | 240        |
|    time_elapsed         | 1268       |
|    total_timesteps      | 1966080    |
| train/                  |            |
|    approx_kl            | 0.03131989 |
|    clip_fraction        | 0.181      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.456     |
|    explained_variance   | 0.174      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0287    |
|    n_updates            | 2390       |
|    policy_gradient_loss | -0.0242    |
|    value_loss           | 0.0135     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 753        |
|    ep_rew_mean          | 4.44       |
| time/                   |            |
|    fps                  | 1550       |
|    iterations           | 241        |
|    time_elapsed         | 1273       |
|    total_timesteps      | 1974272    |
| train/                  |            |
|    approx_kl            | 0.03637701 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.445     |
|    explained_variance   | 0.189      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.022     |
|    n_updates            | 2400       |
|    policy_gradient_loss | -0.0245    |
|    value_loss           | 0.0173     |
